=== libpredict example application ===
Time:                     2024-07-05 15:56:09.851Z
Observer Position:        +51.2365°N, -0.5788°E, +0m
== Celestial Bodies ==
Current Sun Observation:  AZ:  259.248°, EL:   37.810°
          RF refraction:  dEL:   +0.013° (visible)
== Spacecraft ==
Parsing ISS TLE..         OK (Epoch: 2024.181.34)
Calculating ISS orbit..   OK
Current ISS Observation:  AZ:  341.049°, EL:  -42.554°
          RF refraction:  dEL:   +0.000° (not visible)
IM Chip ID: 0xa0 (correct = a0)
OPR Mode: 0x04
Next ISS AoS Azimuth:     176.567° at 2024-07-05 21:44:54.135Z
+0348,-0276,358.5
      Max Elevation:        6.754° at 2024-07-05 21:48:32.255Z
         LoS Azimuth:      86.982° at 2024-07-05 21:52:24.429Z
-0215,-0186,154.1
-0233,-0192,154.1
-0227,-0180,154.1
-0227,-0174,152.6
-0233,-0198,152.7
-0227,-0186,152.5
-0233,-0192,151.1
-0227,-0174,151.1
-0221,-0168,150.4
-0209,-0162,149.6
-0197,-0174,149.4
-0221,-0174,148.0
-0215,-0168,148.0
-0227,-0162,147.4
-0233,-0156,146.5
-0227,-0156,146.5
-0209,-0162,145.9
-0221,-0150,144.9
-0209,-0138,144.9
-0209,-0150,144.3
-0209,-0138,143.5
-0203,-0144,143.5
-0227,-0132,142.5
-0221,-0132,141.9
-0215,-0132,141.9
-0197,-0126,141.0
-0203,-0132,140.3
-0203,-0138,140.3
-0209,-0138,139.6
-0197,-0144,138.8
-0209,-0120,138.8
-0197,-0138,138.8
-0227,-0126,137.4
-0197,-0126,137.2
-0185,-0126,137.0
-0197,-0132,135.8
-0185,-0120,135.8
-0191,-0126,135.0
-0209,-0114,134.2
-0191,-0120,134.2
-0191,-0108,133.8
-0197,-0120,132.8
-0179,-0114,132.8
-0191,-0120,132.4
-0191,-0108,131.2
-0179,-0102,130.9
-0185,-0096,129.7
-0185,-0096,129.7
-0185,-0090,129.7
-0179,-0090,128.1
-0179,-0090,128.1
-0191,-0078,128.1
